Date,signal,pos,held,turnover,gross,net
2006-01-17,0.5590844966789581,0.5590844966789581,0.675812244300547,0.05671461538200062,-0.010684150893883523,-0.010712508201574523
2006-01-18,0.46552357043643106,0.46552357043643106,0.6721992729337971,0.003612971366749873,-0.007751661181235863,-0.007753467666919238
2006-01-19,0.643682380290954,0.643682380290954,0.5590844966789581,0.11311477625483901,0.022595983305163606,0.02253942591703619
2006-01-20,0.6691535465100467,0.6691535465100467,0.46552357043643106,0.09356092624252704,-0.004847165267471843,-0.004893945730593106
2006-01-23,0.7466291394861582,0.7466291394861582,0.643682380290954,0.17815880985452298,0.004688874499978296,0.004599795095051034
2006-01-24,0.7056582244362706,0.7056582244362706,0.6691535465100467,0.025471166219092622,-0.00806516799393401,-0.008077903577043556
2006-01-25,0.7475255324630752,0.7475255324630752,0.7466291394861582,0.07747559297611151,0.007287075967085188,0.007248338170597132
2006-01-26,0.8316836883087169,0.8316836883087169,0.7056582244362706,0.04097091504988759,0.006252251890976079,0.006231766433451135
2006-01-27,0.8877891255391446,0.8877891255391446,0.7475255324630752,0.041867308026804606,0.028051105369808763,0.02803017171579536
2006-01-30,0.9109184414859527,0.9109184414859527,0.8316836883087169,0.08415815584564168,-0.0016001327474268166,-0.0016422118253496374
2006-01-31,0.8586674767511384,0.8586674767511384,0.8877891255391446,0.05610543723042771,-0.008898499367699583,-0.008926552086314796
2006-02-01,0.9057783178340924,0.9057783178340924,0.9109184414859527,0.023129315946808116,0.013125216056179253,0.013113651398205849
2006-02-02,0.8447062485939107,0.8447062485939107,0.8586674767511384,0.052250964734814276,-0.008900364710958387,-0.008926490193325793
2006-02-03,0.7072607648698281,0.7072607648698281,0.9057783178340924,0.047110841082953936,-0.01756719262986501,-0.017590748050406488
2006-02-06,0.5908309961457029,0.5908309961457029,0.8447062485939107,0.0610720692401816,-0.006348614638743405,-0.006379150673363496
2006-02-07,0.5194275472435061,0.5194275472435061,0.7072607648698281,0.1374454837240826,0.002536953224573995,0.002468230482711954
2006-02-08,0.6796183648290042,0.6796183648290042,0.5908309961457029,0.11642976872412525,0.03387675385740207,0.033818538973040005
2006-02-09,0.779452921935814,0.779452921935814,0.5194275472435061,0.07140344890219674,-0.0005910323832857454,-0.0006267341077368437
2006-02-10,0.7187983084629228,0.7187983084629228,0.6796183648290042,0.16019081758549802,-0.017029076747687198,-0.017109172156479946
2006-02-13,0.6648541051238516,0.6648541051238516,0.779452921935814,0.09983455710680977,-0.0030350591303671976,-0.0030849764089206024
2006-02-14,0.6187125722811359,0.6187125722811359,0.7187983084629228,0.06065461347289114,-0.002247884514010137,-0.0022782118207465823
2006-02-15,0.6005223916071103,0.6005223916071103,0.6648541051238516,0.05394420333907124,0.0028677691667979817,0.002840797065128446
2006-02-16,0.6185555472220893,0.6185555472220893,0.6187125722811359,0.046141532842715716,0.00483191049232056,0.004808839725899202
2006-02-17,0.6260100028713391,0.6260100028713391,0.6005223916071103,0.018190180674025558,0.00023250151985139514,0.00022340642951438236
