Date,signal,pos,held,turnover,gross,net
2024-01-23,0.9501278455080144,0.9501278455080144,0.8877876523930319,0.05610617380348426,0.0036837464716838746,0.0036556933847821326
2024-01-24,0.966751897005343,0.966751897005343,0.9251917682620214,0.03740411586898951,0.005134250371323145,0.00511554831338865
2024-01-25,0.9778345980035621,0.9778345980035621,0.9501278455080144,0.024936077245993005,0.0011602761949307447,0.0011478081563077482
2024-01-26,0.9268032328632199,0.9268032328632199,0.966751897005343,0.016624051497328596,-0.005759566975323809,-0.005767879001072474
2024-01-29,0.9512021552421466,0.9512021552421466,0.9778345980035621,0.011082700998219064,0.010013507015238546,0.010007965664739436
2024-01-30,0.9009914367509155,0.9009914367509155,0.9268032328632199,0.05103136514034223,-0.00616930437268849,-0.006194820055258661
2024-01-31,0.7578060699591573,0.7578060699591573,0.9512021552421466,0.024398922378926713,-0.018630359608925177,-0.01864255907011464
2024-02-01,0.7208944846832224,0.7208944846832224,0.9009914367509155,0.05021071849123104,0.010609526461452847,0.010584421102207232
2024-02-02,0.8139296564554817,0.8139296564554817,0.7578060699591573,0.1431853667917582,0.012807259421599012,0.012735666738203134
2024-02-05,0.8624543817941785,0.8624543817941785,0.7208944846832224,0.036911585275934966,-0.0009409604886222646,-0.0009594162812602322
2024-02-06,0.8751401235915592,0.8751401235915592,0.8139296564554817,0.09303517177225928,-0.001633808071081146,-0.0016803256569672756
2024-02-07,0.9167600823943729,0.9167600823943729,0.8624543817941785,0.048524725338696895,0.008874837465190065,0.008850575102520717
2024-02-08,0.9445067215962486,0.9445067215962486,0.8751401235915592,0.01268574179738069,0.0016207325413756645,0.0016143896704769742
2024-02-09,0.9630044810641658,0.9630044810641658,0.9167600823943729,0.04161995880281366,0.009023733782908187,0.00900292380350678
2024-02-12,0.934936356827933,0.934936356827933,0.9445067215962486,0.0277466392018757,-0.00369536419139724,-0.003709237510998178
2024-02-13,0.802241236057321,0.802241236057321,0.9630044810641658,0.018497759467917207,-0.015020063703773803,-0.015029312583507762
2024-02-14,0.7722452150095065,0.7722452150095065,0.934936356827933,0.02806812423623284,0.010188173036886307,0.01017413897476819
2024-02-15,0.7778943715920528,0.7778943715920528,0.802241236057321,0.13269512077061196,0.002388865320539915,0.002322517760154609
2024-02-16,0.691322762518964,0.691322762518964,0.7722452150095065,0.029996021047814514,-0.00700248838901823,-0.007017486399542137
2024-02-20,0.5904827053520317,0.5904827053520317,0.7778943715920528,0.0056491565825462775,-0.005871677060017312,-0.005874501638308585
2024-02-21,0.503630875018182,0.503630875018182,0.691322762518964,0.0865716090730888,-0.0027664244385074274,-0.0028097102430439717
2024-02-22,0.6690872500121214,0.6690872500121214,0.5904827053520317,0.10084005716693223,0.01728671208869985,0.017236292060116384
2024-02-23,0.750056718121358,0.750056718121358,0.503630875018182,0.08685183033384969,-0.001483042571798806,-0.0015264684869657308
2024-02-26,0.7980346670884153,0.7980346670884153,0.6690872500121214,0.1654563749939394,-0.0003523403418309341,-0.00043506852932790376
2024-02-27,0.8539696547042925,0.8539696547042925,0.750056718121358,0.08096946810923655,0.0018041392806996096,0.0017636545466449913
2024-02-28,0.8340328278015894,0.8340328278015894,0.7980346670884153,0.047977948967057316,-0.004249159848151976,-0.004273148822635505
2024-02-29,0.8893552185343929,0.8893552185343929,0.8539696547042925,0.05593498761587723,0.007317898246213623,0.007289930752405685
2024-03-01,0.9262368123562621,0.9262368123562621,0.8340328278015894,0.019936826902703153,0.01255812065018851,0.012548152236737158
2024-03-04,0.9149908079057191,0.9149908079057191,0.8893552185343929,0.05532239073280354,-0.0031733715055245124,-0.0032010327008909142
2024-03-05,0.7758985659187939,0.7758985659187939,0.9262368123562621,0.036881593821869174,-0.016625643852538608,-0.016644084649449543
2024-03-06,0.7177211454761454,0.7177211454761454,0.9149908079057191,0.011246004450543023,0.005749489853338866,0.005743866851113594
2024-03-07,0.8062261824143877,0.8062261824143877,0.7758985659187939,0.13909224198692516,0.011776643860447189,0.011707097739453727
2024-03-08,0.7135366830466319,0.7135366830466319,0.7177211454761454,0.05817742044264851,-0.010360205897499584,-0.010389294607720909
2024-03-11,0.6267633807183869,0.6267633807183869,0.8062261824143877,0.0885050369382423,-0.002993258909200232,-0.003037511427669353
2024-03-12,0.6979335472452022,0.6979335472452022,0.7135366830466319,0.09268949936775583,0.010228504806754135,0.010182160057070257
2024-03-13,0.6725235590337669,0.6725235590337669,0.6267633807183869,0.08677330232824498,-0.0048173043657110835,-0.004860691016875206
2024-03-14,0.6337240771080561,0.6337240771080561,0.6979335472452022,0.07117016652681529,-0.001759676017031539,-0.0017952611002949466
2024-03-15,0.5268835653514324,0.5268835653514324,0.6725235590337669,0.025409988211435253,-0.007994250299080161,-0.00800695529318588
2024-03-18,0.5161322727815132,0.5161322727815132,0.6337240771080561,0.03879948192571081,0.006044124685683288,0.0060247249447204325
2024-03-19,0.5127554432469859,0.5127554432469859,0.5268835653514324,0.10684051175662368,0.001312777345920487,0.0012593570900421751
2024-03-20,0.6353541192638399,0.6353541192638399,0.5161322727815132,0.010751292569919246,0.006119576011145672,0.006114200364860712
2024-03-21,0.7569027461758933,0.7569027461758933,0.5127554432469859,0.003376829534527337,0.0024265030657133102,0.0024248146509460466
2024-03-22,0.8379351641172623,0.8379351641172623,0.6353541192638399,0.12259867601685404,0.0007267380889870268,0.0006654387509785998
2024-03-25,0.8248162889201699,0.8248162889201699,0.7569027461758933,0.12154862691205337,-0.002747007026725636,-0.002807781340181663
2024-03-26,0.7483010926063318,0.7483010926063318,0.8379351641172623,0.08103241794136906,-0.0027129198178823923,-0.002753436026853077
2024-03-27,0.747040487535658,0.747040487535658,0.8248162889201699,0.013118875197092428,0.002809395101551988,0.0028028356639534418
2024-03-28,0.7146710449607444,0.7146710449607444,0.7483010926063318,0.07651519631383807,-0.0013794866281742729,-0.001417744226331192
2024-04-01,0.6944648456343272,0.6944648456343272,0.747040487535658,0.0012606050706738259,0.0015816473672606688,0.0015810170647253317
2024-04-02,0.5543821231976395,0.5543821231976395,0.7146710449607444,0.03236944257491359,-0.006167860714756809,-0.006184045436044266
2024-04-03,0.4630315592749933,0.4630315592749933,0.6944648456343272,0.020206199326417207,0.0015586776308586974,0.0015485745311954887
2024-04-04,0.3346576750274258,0.3346576750274258,0.5543821231976395,0.14008272243668773,-0.0084768344618283,-0.008546875823046644
2024-04-05,0.3245485692218697,0.3245485692218697,0.4630315592749933,0.09135056392264618,0.005456240829818901,0.005410565547857578
2024-04-08,0.32018069039092273,0.32018069039092273,0.3346576750274258,0.12837388424756746,9.879552202689116e-05,3.460857990310743e-05
2024-04-09,0.35809385989977494,0.35809385989977494,0.3245485692218697,0.010109105805556129,0.001200676182741717,0.001195621629838939
2024-04-10,0.3160851932200268,0.3160851932200268,0.32018069039092273,0.00436787883094697,-0.002794691002660581,-0.0027968749420760547
2024-04-11,0.4963636404687393,0.4963636404687393,0.35809385989977494,0.03791316950885221,0.00571812560635285,0.005699169021598424
2024-04-12,0.4258938132908769,0.4258938132908769,0.3160851932200268,0.04200866667974812,-0.005038992516334316,-0.00505999684967419
2024-04-15,0.2831093442887266,0.2831093442887266,0.4963636404687393,0.1802784472487125,-0.008165622746154864,-0.00825576196977922
2024-04-16,0.18831970419461744,0.18831970419461744,0.4258938132908769,0.07046982717786243,3.945779072804826e-05,4.222877139117044e-06
2024-04-17,0.06257194974777952,0.06257194974777952,0.2831093442887266,0.1427844690021503,-0.0034542914394368822,-0.0035256836739379575
2024-04-18,-0.053792079087444336,-0.053792079087444336,0.18831970419461744,0.09478964009410915,-0.0010746381222408248,-0.0011220329422878795
2024-04-19,-0.36919471939162957,-0.36919471939162957,0.06257194974777952,0.12574775444683792,-0.0012945626308586828,-0.0013574365080821016
2024-04-22,-0.4175872445957189,-0.4175872445957189,-0.053792079087444336,0.11636402883522386,-0.0005409701540053406,-0.0005991521684229525
2024-04-23,-0.34092783819060685,-0.34092783819060685,-0.36919471939162957,0.31540264030418524,-0.0055094793974452905,-0.005667180717597383
2024-04-24,-0.2714495068226358,-0.2714495068226358,-0.4175872445957189,0.04839252520408932,-0.001414617476757428,-0.0014388137393594727
2024-04-25,-0.24276687536563862,-0.24276687536563862,-0.34092783819060685,0.07665940640511204,0.001646585169780306,0.00160825546657775
2024-04-26,-0.15348871556239713,-0.15348871556239713,-0.2714495068226358,0.06947833136797105,-0.004188920678091548,-0.004223659843775533
2024-04-29,-0.07767574019934119,-0.07767574019934119,-0.24276687536563862,0.028682631456997176,-0.000985698384483065,-0.0010000397002115637
2024-04-30,-0.12100128851277805,-0.12100128851277805,-0.15348871556239713,0.0892781598032415,0.0028942187511117323,0.0028495796712101115
2024-05-01,-0.1973371853131155,-0.1973371853131155,-0.07767574019934119,0.07581297536305594,0.0005616364074113742,0.0005237299197298462
2024-05-02,-0.17014569076034902,-0.17014569076034902,-0.12100128851277805,0.043325548313436865,-0.001544385696805653,-0.0015660484709623715
2024-05-03,-0.058927579500915477,-0.058927579500915477,-0.1973371853131155,0.07633589680033745,-0.003966201427042899,-0.004004369375443068
2024-05-06,0.08920908140788261,0.08920908140788261,-0.17014569076034902,0.027191494552766482,-0.00186364611958756,-0.0018772418668639432
2024-05-07,0.18563897305797944,0.18563897305797944,-0.058927579500915477,0.11121811125943354,-9.368063539065206e-06,-6.497711916878196e-05
2024-05-08,0.2455894341097913,0.2455894341097913,0.08920908140788261,0.1481366609087981,-5.267690759081765e-05,-0.0001267452380452167
2024-05-09,0.30488010174813346,0.30488010174813346,0.18563897305797944,0.09642989165009683,0.0004049831161248854,0.000356768170299837
2024-05-10,0.3623895070099014,0.3623895070099014,0.2455894341097913,0.05995046105181187,0.0005791671010405376,0.0005491918705146316
2024-05-13,0.43051296000962647,0.43051296000962647,0.30488010174813346,0.05929066763834215,0.0007034102911644956,0.0006737649573453245
2024-05-14,0.5810127625669654,0.5810127625669654,0.3623895070099014,0.057509405261767954,0.0023309815376753007,0.002302226835044417
2024-05-15,0.7206751750446436,0.7206751750446436,0.43051296000962647,0.06812345299972505,0.006729061048278067,0.006694999321778205
2024-05-16,0.7447504761031916,0.7447504761031916,0.5810127625669654,0.15049980255733897,-0.0011801892257284976,-0.001255439127007167
2024-05-17,0.7192628633915004,0.7192628633915004,0.7206751750446436,0.1396624124776782,-0.0003507954393889401,-0.0004206266456277792
2024-05-20,0.812841908927667,0.812841908927667,0.7447504761031916,0.024075301058547938,0.0051927982911183,0.005180760640589026
2024-05-21,0.8752279392851114,0.8752279392851114,0.7192628633915004,0.0254876127116912,0.00140733254138457,0.0013945887350287245
2024-05-22,0.904958168603081,0.904958168603081,0.812841908927667,0.09357904553616658,-0.00016056133752592367,-0.00020735086029400696
2024-05-23,0.7712380383054349,0.7712380383054349,0.8752279392851114,0.0623860303574445,-0.0039371472714377735,-0.003968340286616496
2024-05-24,0.8474920255369567,0.8474920255369567,0.904958168603081,0.029730229317969536,0.008557603581147896,0.008542738466488911
2024-05-28,0.8983280170246379,0.8983280170246379,0.7712380383054349,0.13372013029764607,0.0029135478207476103,0.002846687755598787
2024-05-29,0.7675708371593174,0.7675708371593174,0.8474920255369567,0.07625398723152177,-0.005973462906455614,-0.006011589900071375
2024-05-30,0.5662280590807744,0.5662280590807744,0.8983280170246379,0.050835991487681254,-0.009624107196711659,-0.0096495251924555
2024-05-31,0.42379746092663906,0.42379746092663906,0.7675708371593174,0.13075717986532054,-0.0014278163987064049,-0.0014931949886390651
2024-06-03,0.36831077465054163,0.36831077465054163,0.5662280590807744,0.20134277807854295,0.003040250602953738,0.0029395792139144668
2024-06-04,0.3480535134296249,0.3480535134296249,0.42379746092663906,0.1424305981541354,0.0011597363776564978,0.0010885210785794301
2024-06-05,0.5653690089530833,0.5653690089530833,0.36831077465054163,0.05548668627609743,0.007425080554417533,0.007397337211279485
2024-06-06,0.7035659933899509,0.7035659933899509,0.3480535134296249,0.020257261220916756,-0.00012018110902253656,-0.00013030973963299494
2024-06-07,0.7787040951412989,0.7787040951412989,0.5653690089530833,0.2173154955234584,-0.0005002755643894034,-0.0006089333121511326
2024-06-10,0.8524693967608661,0.8524693967608661,0.7035659933899509,0.13819698443686756,0.0028419101809429746,0.002772811688724541
2024-06-11,0.901646264507244,0.901646264507244,0.7787040951412989,0.07513810175134805,0.005343932914009465,0.005306363863133792
2024-06-12,0.9344308430048294,0.9344308430048294,0.8524693967608661,0.07376530161956718,0.01116548994720548,0.011128607296395697
2024-06-13,0.9562872286698862,0.9562872286698862,0.901646264507244,0.04917686774637797,0.004887155943704137,0.004862567509830948
2024-06-14,0.9708581524465909,0.9708581524465909,0.9344308430048294,0.032784578497585315,0.004841457506039464,0.004825065216790671
2024-06-17,0.9805721016310607,0.9805721016310607,0.9562872286698862,0.021856385665056877,0.011714438020647153,0.011703509827814625
2024-06-18,0.9870480677540405,0.9870480677540405,0.9708581524465909,0.014570923776704658,0.0003001992857651412,0.0002929138238767889
2024-06-20,0.856189123269409,0.856189123269409,0.9805721016310607,0.009713949184469772,-0.007558255455278768,-0.007563112429871003
2024-06-21,0.7435770770893948,0.7435770770893948,0.9870480677540405,0.006475966122979848,-0.002644552713356636,-0.002647790696418126
2024-06-24,0.6179042339475102,0.6179042339475102,0.856189123269409,0.13085894448463153,-0.009747425618485342,-0.009812855090727657
2024-06-25,0.6217918400656277,0.6217918400656277,0.7435770770893948,0.11261204618001419,0.008503159751542052,0.008446853728452046
2024-06-26,0.6426044305529716,0.6426044305529716,0.6179042339475102,0.12567284314188465,0.0012761299613171717,0.0012132935397462293
2024-06-27,0.6744828310676652,0.6744828310676652,0.6217918400656277,0.003887606118117559,0.001605073586474762,0.0016031297834157032
2024-06-28,0.6421075523619717,0.6421075523619717,0.6426044305529716,0.02081259048734385,-0.0033357590431160994,-0.0033461653383597715
2024-07-01,0.6872709515139078,0.6872709515139078,0.6744828310676652,0.031878400514693594,0.003955850433133703,0.003939911232876356
2024-07-02,0.7915139676759386,0.7915139676759386,0.6421075523619717,0.032375278705693455,0.0067420290248151,0.006725841385462253
2024-07-03,0.8610093117839592,0.8610093117839592,0.6872709515139078,0.04516339915193612,0.005729786130245303,0.005707204430669335
2024-07-05,0.9073395411893062,0.9073395411893062,0.7915139676759386,0.1042430161620308,0.008252949922032137,0.008200828413951122
2024-07-08,0.9382263607928709,0.9382263607928709,0.8610093117839592,0.0694953441080206,0.0020477115147557114,0.002012963842701701
2024-07-09,0.958817573861914,0.958817573861914,0.9073395411893062,0.04633022940534692,0.0007844289776472503,0.0007612638629445768
2024-07-10,0.9725450492412762,0.9725450492412762,0.9382263607928709,0.030886819603564764,0.009782542656935364,0.00976709924713358
2024-07-11,0.833520749777727,0.833520749777727,0.958817573861914,0.0205912130690431,-0.021027097737570898,-0.02103739334410542
2024-07-12,0.7721915767049243,0.7721915767049243,0.9725450492412762,0.013727475379362142,0.005713546281969559,0.0057066825442798775
2024-07-15,0.7454644732253173,0.7454644732253173,0.833520749777727,0.1390242994635491,0.002240420682131703,0.0021709085323999284
2024-07-16,0.7307736437044051,0.7307736437044051,0.7721915767049243,0.06132917307280272,0.0002956951448955261,0.00026503055835912475
2024-07-17,0.6158555653449959,0.6158555653449959,0.7454644732253173,0.02672710347960705,-0.021883075388134412,-0.021896438939874214
2024-07-18,0.5167582390169125,0.5167582390169125,0.7307736437044051,0.014690829520912163,-0.00345834478766134,-0.0034656902024217963
2024-07-19,0.42135327521872995,0.42135327521872995,0.6158555653449959,0.11491807835940926,-0.0054587804826251975,-0.005516239521804902
2024-07-22,0.40877741419266644,0.40877741419266644,0.5167582390169125,0.09909732632808332,0.007698607116402015,0.0076490584532379734
2024-07-23,0.38844003800978977,0.38844003800978977,0.42135327521872995,0.09540496379818258,-0.001485156209750386,-0.0015328586916494773
2024-07-24,0.2768444109681147,0.2768444109681147,0.40877741419266644,0.012575861026063506,-0.014662975299569036,-0.014669263230082068
2024-07-25,0.17518008594286547,0.17518008594286547,0.38844003800978977,0.020337376182876676,-0.004283570204911393,-0.0042937388930028315
2024-07-26,0.13245260419330196,0.13245260419330196,0.2768444109681147,0.11159562704167508,0.0028392833060186633,0.0027834854924978255
2024-07-29,0.09350923879922562,0.09350923879922562,0.17518008594286547,0.10166432502524922,0.00035190852739990435,0.00030107636488727974
2024-07-30,-0.006346050078390175,-0.006346050078390175,0.13245260419330196,0.042727481749563506,-0.001818762148691442,-0.0018401258895662238
2024-07-31,0.0030115714164916955,0.0030115714164916955,0.09350923879922562,0.038943365394076335,0.0027672895251465266,0.0027478178424494883
2024-08-01,-0.08038698467482858,-0.08038698467482858,-0.006346050078390175,0.0998552888776158,0.00015371115352267055,0.00010378350908386265
2024-08-02,-0.2465823427002432,-0.2465823427002432,0.0030115714164916955,0.009357621494881872,-7.147933587116364e-05,-7.615814661860458e-05
2024-08-05,-0.49772156180016214,-0.49772156180016214,-0.08038698467482858,0.08339855609132027,0.0023968334332934646,0.0023551341552478042
2024-08-06,-0.5980823416676238,-0.5980823416676238,-0.2465823427002432,0.16619535802541463,-0.0023561144256987066,-0.002439212104711414
2024-08-07,-0.7320548944450825,-0.7320548944450825,-0.49772156180016214,0.25113921909991893,0.005390169298120758,0.0052645996885707985
2024-08-08,-0.6434511790009345,-0.6434511790009345,-0.5980823416676238,0.10036077986746161,-0.018295856168452248,-0.01834603655838598
2024-08-09,-0.5609515851033227,-0.5609515851033227,-0.7320548944450825,0.1339725527774588,-0.0038231161343394407,-0.00389010241072817
2024-08-12,-0.4978862912310491,-0.4978862912310491,-0.6434511790009345,0.08860371544414802,-0.0013856845656456285,-0.0014299864233677025
2024-08-13,-0.3677676516901016,-0.3677676516901016,-0.5609515851033227,0.08249959389761186,-0.013918790221158092,-0.013960040018106898
2024-08-14,-0.27744540493326003,-0.27744540493326003,-0.4978862912310491,0.06306529387227355,-0.00016147567334322719,-0.00019300832027936395
2024-08-15,-0.14153617325196616,-0.14153617325196616,-0.3677676516901016,0.1301186395409475,-0.009290921841941503,-0.009355981161711976
2024-08-16,-0.05193814373347008,-0.05193814373347008,-0.27744540493326003,0.09032224675684158,-0.0003567514137253232,-0.000401912537103744
2024-08-19,0.0182196452142595,0.0182196452142595,-0.14153617325196616,0.13590923168129387,-0.0018592190080685305,-0.0019271736239091775
2024-08-20,0.06377125883046664,0.06377125883046664,-0.05193814373347008,0.08959802951849608,0.00010900079233881913,6.42017775795711e-05
2024-08-21,0.09238580489009987,0.09238580489009987,0.0182196452142595,0.07015778894772959,8.497835818774263e-05,4.989946371387784e-05
2024-08-22,0.08315307104664174,0.08315307104664174,0.06377125883046664,0.04555161361620714,-0.001011086110984552,-0.0010338619177926557
2024-08-23,0.09671034268665074,0.09671034268665074,0.09238580489009987,0.028614546059633233,0.0010019684241177776,0.0009876611510879609
2024-08-26,0.09219781555169304,0.09219781555169304,0.08315307104664174,0.00923273384345813,-0.0008072666092273102,-0.0008118829761490392
2024-08-27,0.08541310250114129,0.08541310250114129,0.09671034268665074,0.013557271640009,0.0002889084561637396,0.0002821298203437351
2024-08-28,0.06769422384385251,0.06769422384385251,0.09219781555169304,0.0045125271349577,-0.0010462197725303129,-0.0010484760360977916
2024-08-29,0.04865852462277124,0.04865852462277124,0.08541310250114129,0.006784713050551755,-0.00012503309923710622,-0.0001284254557623821
2024-08-30,0.048318686838661126,0.048318686838661126,0.06769422384385251,0.017718878657288772,0.000806878449644105,0.0007980190103154606
2024-09-03,0.013881251583905744,0.013881251583905744,0.04865852462277124,0.019035699221081274,-0.001477312757051347,-0.0014868306066618876
2024-09-04,-0.013202923162582697,-0.013202923162582697,0.048318686838661126,0.00033983778411011273,-0.00012556599540531902,-0.00012573591429737409
2024-09-05,-0.028952495419123356,-0.028952495419123356,0.013881251583905744,0.034437435254755386,1.2959695056703103e-05,-4.259022570674592e-06
2024-09-06,-0.11334798631710202,-0.11334798631710202,-0.013202923162582697,0.027084174746488443,0.00035366951858837816,0.00034012743121513393
2024-09-09,-0.13194475916074216,-0.13194475916074216,-0.028952495419123356,0.01574957225654066,-0.00037231903334818004,-0.00038019381947645037
2024-09-10,-0.12557962497600192,-0.12557962497600192,-0.11334798631710202,0.08439549089797867,-0.0010475380987066399,-0.0010897358441556292
2024-09-11,-0.07914281737039991,-0.07914281737039991,-0.13194475916074216,0.01859677284364014,-0.0028652368470464063,-0.002874535233468226
2024-09-12,-0.026643227310793792,-0.026643227310793792,-0.12557962497600192,0.006365134184740245,-0.0012326930882656166,-0.0012358756553579866
2024-09-13,0.018871111665968787,0.018871111665968787,-0.07914281737039991,0.04643680760560201,-0.0003545597459027181,-0.00037777814970551914
2024-09-16,0.03803051020499404,0.03803051020499404,-0.026643227310793792,0.05249959005960612,0.00011771095368163191,9.146115865182885e-05
2024-09-17,0.041461180682605306,0.041461180682605306,0.018871111665968787,0.045514338976762575,9.969128634047133e-06,-1.2788040854334156e-05
2024-09-18,0.038203103703050065,0.038203103703050065,0.03803051020499404,0.019159398539025253,-0.0001646495977298966,-0.0001742292969994092
2024-09-19,0.09268559036760238,0.09268559036760238,0.041461180682605306,0.0034306704776112668,0.0010483121123664755,0.0010465967771276698
2024-09-20,0.08700253698352768,0.08700253698352768,0.038203103703050065,0.003258076979555241,-7.271195367447156e-05,-7.434099216424918e-05
2024-09-23,0.0863088903114251,0.0863088903114251,0.09268559036760238,0.05448248666455231,0.00024567611105890264,0.0002184348677266265
2024-09-24,0.09431958274441367,0.09431958274441367,0.08700253698352768,0.005683053384074696,0.00041966568235653337,0.00041682415566449604
2024-09-25,0.08415404956905068,0.08415404956905068,0.0863088903114251,0.000693646672102588,8.002446716328952e-05,7.967764382723822e-05
2024-09-26,0.09081179159563772,0.09081179159563772,0.09431958274441367,0.008010692432988575,0.0007086223285952307,0.0007046169823787364
2024-09-27,0.08891129784337287,0.08891129784337287,0.08415404956905068,0.010165533175362992,-0.0004676367104427891,-0.0004727194770304706
2024-09-30,0.0893822763859626,0.0893822763859626,0.09081179159563772,0.006657742026587046,0.0002462634850597216,0.00024293461404642806
2024-10-01,0.08232191956313054,0.08232191956313054,0.08891129784337287,0.0019004937522648507,-0.001238757443203232,-0.0012397076900793644
2024-10-02,0.07764686987823348,0.07764686987823348,0.0893822763859626,0.00047097854258973393,0.0001262909210149412,0.0001260554317436463
2024-10-03,0.05461918927438052,0.05461918927438052,0.08232191956313054,0.00706035682283207,-6.148397912600215e-05,-6.50141575374182e-05
2024-10-04,0.07178324884385248,0.07178324884385248,0.07764686987823348,0.004675049684897056,0.0009238438704177056,0.0009215063455752571
2024-10-07,0.0675111655572333,0.0675111655572333,0.05461918927438052,0.023027680603852962,-0.0005850594426121843,-0.0005965732829141107
2024-10-08,0.15122497387831024,0.15122497387831024,0.07178324884385248,0.017164059569471965,0.0010720579946209346,0.0010634759648361987
2024-10-09,0.43414998258554016,0.43414998258554016,0.0675111655572333,0.004272083286619183,0.0005312040599117254,0.0005290680182684158
2024-10-10,0.589676884727649,0.589676884727649,0.15122497387831024,0.08371380832107694,-0.0001717325999232539,-0.00021358950408379237
2024-10-11,0.7264512564850993,0.7264512564850993,0.43414998258554016,0.2829250087072299,0.0006786327082045884,0.0005371702038509734
2024-10-14,0.8176341709900663,0.8176341709900663,0.589676884727649,0.15552690214210885,0.004948302592650153,0.004870539141579098
2024-10-15,0.6552927412553698,0.6552927412553698,0.7264512564850993,0.13677437175745033,-0.009710322386561923,-0.009778709572440649
2024-10-16,0.5486057303900452,0.5486057303900452,0.8176341709900663,0.09118291450496696,9.9924098848129e-05,5.4332641595645516e-05
2024-10-17,0.4944822536015513,0.4944822536015513,0.6552927412553698,0.16234142973469645,0.00045380953077729826,0.00037263881590995
2024-10-18,0.5291586681549872,0.5291586681549872,0.5486057303900452,0.10668701086532462,0.003595962927562641,0.003542619422129979
2024-10-21,0.5658834634626525,0.5658834634626525,0.4944822536015513,0.05412347678849394,0.0009499985234848984,0.0009229367850906514
2024-10-22,0.5861165879617245,0.5861165879617245,0.5291586681549872,0.03467641455343595,0.0005768179691684447,0.0005594797618917267
2024-10-23,0.4473778826363681,0.4473778826363681,0.5658834634626525,0.03672479530766526,-0.00867154677182934,-0.008689909169483173
2024-10-24,0.4358847332972182,0.4358847332972182,0.5861165879617245,0.020233124499071997,0.0047527598397953145,0.004742643277545778
2024-10-25,0.5261096137887705,0.5261096137887705,0.4473778826363681,0.13873870532535643,0.0027261837349258637,0.0026568143822631855
2024-10-28,0.5862804734484119,0.5862804734484119,0.4358847332972182,0.011493149339149855,7.03224779033759e-05,6.457590323380097e-05
2024-10-29,0.7241869822989413,0.7241869822989413,0.5261096137887705,0.0902248804915523,0.005055109618722429,0.005009997178476652
2024-10-30,0.6705750612306701,0.6705750612306701,0.5862804734484119,0.06017085965964142,-0.0044308702110581015,-0.0044609556408879225
2024-10-31,0.5009018050772402,0.5009018050772402,0.7241869822989413,0.13790650885052935,-0.01828048517255293,-0.018349438426978195
2024-11-01,0.42129551117292835,0.42129551117292835,0.6705750612306701,0.05361192106827117,0.004961487336526906,0.0049346813759927706
2024-11-04,0.3548900146969417,0.3548900146969417,0.5009018050772402,0.16967325615342987,-0.0014591723330381731,-0.0015440089611148881
2024-11-05,0.3898317857485206,0.3898317857485206,0.42129551117292835,0.0796062939043119,0.005374397776674018,0.005334594629721862
2024-11-06,0.5932211904990138,0.5932211904990138,0.3548900146969417,0.06640549647598665,0.009639982863934459,0.009606780115696465
2024-11-07,0.7288141269993426,0.7288141269993426,0.3898317857485206,0.03494177105157892,0.006137579500065252,0.006120108614539463
2024-11-08,0.8192094179995617,0.8192094179995617,0.5932211904990138,0.20338940475049316,0.000693164306663373,0.0005914696042881264
2024-11-11,0.8732130647536851,0.8732130647536851,0.7288141269993426,0.13559293650032878,-0.00042517273813879393,-0.0004929692063889583
2024-11-12,0.8906507854574661,0.8906507854574661,0.8192094179995617,0.09039529100021915,-0.0014828680227665773,-0.0015280656682666869
2024-11-13,0.8887531208876215,0.8887531208876215,0.8732130647536851,0.05400364675412339,-0.0011234980826803453,-0.001150499906057407
2024-11-14,0.7955695641067155,0.7955695641067155,0.8906507854574661,0.017437720703781023,-0.006189804091641592,-0.006198522951993483
2024-11-15,0.6286955748138464,0.6286955748138464,0.8887531208876215,0.001897664569844637,-0.02117541891273703,-0.021176367745021952
2024-11-18,0.5469117219169797,0.5469117219169797,0.7955695641067155,0.09318355678090595,0.005527370928308204,0.005480779149917751
2024-11-19,0.5251245631496809,0.5251245631496809,0.6286955748138464,0.16687398929286912,0.0043252217441127425,0.004241784749466308
