Date,signal,pos,held,turnover,gross,net
2012-01-10,0.276021315214807,0.276021315214807,0.19646008721773647,0.01606148978343494,0.004174103085542726,0.004166072340651008
2012-01-11,0.47660898324279966,0.47660898324279966,0.19115664189036652,0.0053034453273699544,0.0032344601891794817,0.0032318084665157966
2012-01-12,0.6510726554951998,0.6510726554951998,0.276021315214807,0.08486467332444048,0.0014305445889959585,0.0013881122523337383
2012-01-13,0.5567738683147121,0.5567738683147121,0.47660898324279966,0.20058766802799266,-0.01202836240030759,-0.012128656234321586
2012-01-17,0.433713252314326,0.433713252314326,0.6510726554951998,0.17446367225240011,-0.018306904657055315,-0.018394136493181515
2012-01-18,0.5335247930338242,0.5335247930338242,0.5567738683147121,0.09429878718048768,0.025996845631534267,0.025949696237944023
2012-01-19,0.6890165286892161,0.6890165286892161,0.433713252314326,0.12306061600038609,0.004628997883777376,0.004567467575777183
2012-01-20,0.7926776857928108,0.7926776857928108,0.5335247930338242,0.09981154071949816,0.006212192638270976,0.006162286867911227
2012-01-23,0.8617851238618739,0.8617851238618739,0.6890165286892161,0.15549173565539198,0.005532838751546256,0.00545509288371856
2012-01-24,0.9078567492412493,0.9078567492412493,0.7926776857928108,0.10366115710359469,0.0,-5.183057855179735e-05
2012-01-25,0.9208778933481482,0.9208778933481482,0.8617851238618739,0.06910743806906305,-0.00137333215241312,-0.0014078858714476514
2012-01-26,0.8984671585136081,0.8984671585136081,0.9078567492412493,0.04607162537937537,-0.0026557855212644456,-0.002678821333954133
2012-01-27,0.824697933552213,0.824697933552213,0.9208778933481482,0.013021144106898919,-0.006877717228694701,-0.006884227800748151
2012-01-30,0.7305935245735972,0.7305935245735972,0.8984671585136081,0.022410734834540036,-0.004829079567565191,-0.004840284934982461
2012-01-31,0.6932437460100688,0.6932437460100688,0.824697933552213,0.07376922496139515,0.006461911018935554,0.006425026406454857
2012-02-01,0.699933260988262,0.699933260988262,0.7305935245735972,0.09410440897861583,0.005876032573199645,0.005828980368710337
2012-02-02,0.6320993810306066,0.6320993810306066,0.6932437460100688,0.03734977856352839,-0.0009216163356821964,-0.0009402912249639607
2012-02-03,0.7547329206870711,0.7547329206870711,0.699933260988262,0.006689514978193256,0.013606982043691282,0.013603637286202185
