ticker,is_sharpe,oos_sharpe,buy_hold,placebo_p,psr,no_gate,param_verdict
AAPL,0.472736420836924,0.34143789496020965,1.00365797002265,0.5574425574425574,0.8654534754302674,0.3711869300283599,ROBUST
MSFT,-0.3711511887644976,-0.03999660815319137,0.9280349132704557,0.9790209790209791,0.4479616127050389,0.17994387321584418,FRAGILE
INTC,-0.23203463326161627,-0.12813716746108117,0.5125865971074586,0.6563436563436563,0.3382411887032372,-0.24353257336039835,FRAGILE
JPM,-0.36510526363842094,0.08016144695478887,0.8056926422919846,0.8041958041958042,0.6032341545221344,0.09135093351105451,FRAGILE
C,-0.31954712845374705,0.062212885539317093,0.5161671278123868,0.5544455544455544,0.5805759596467592,0.07327265968302439,ROBUST
XOM,-0.4454794876973694,0.0041265668917634234,0.5416939119989844,0.5554445554445554,0.5053805122450892,0.034692873742863034,FRAGILE
JNJ,-0.2594585094070487,-0.11402207244168475,0.7292965950181195,0.7952047952047953,0.35392889654607596,-0.06451302021544847,FRAGILE
PFE,-0.29683295288744593,-0.10095855841801808,0.26816404113075293,0.5874125874125874,0.3706114999798166,-0.15402276146389238,FRAGILE
PG,-0.1929563790128922,-0.6199615153636002,0.5448342754562752,1.0,0.01960803733463129,-0.4629063713920823,FRAGILE
WMT,-0.5690908925685116,-0.17462299829760203,0.8935140640428175,0.9920079920079921,0.28471989617998994,-0.0005465851220391494,FRAGILE
HD,-0.14407598973246738,0.021897462730464327,0.5327898309142663,0.5944055944055944,0.528526729643292,0.14378907580775843,FRAGILE
CAT,0.058939178360688446,0.3171916238303306,0.9736546136015563,0.47652347652347654,0.8510935144517007,0.40034696140002624,ROBUST
BA,0.29732551775238686,-0.011315910498432107,0.30192480454048043,0.5224775224775224,0.4852498836385258,-0.09553705188344053,FRAGILE
VZ,-0.35082560941484564,-0.5544777339462214,0.38164087331098184,0.957042957042957,0.032218632521347046,-0.6837683943735084,FRAGILE
DUK,-0.01692247880760753,-0.49737470580483495,0.5347386897503399,0.983016983016983,0.04854117062068197,-0.5180126521530285,FRAGILE
