Date,signal,pos,held,turnover,gross,net
2012-11-14,-0.9527094057894891,-0.9527094057894891,-0.89359616302635,0.053201918486825095,0.014100549996174841,0.014073949036931429
2012-11-15,-0.9373067588232114,-0.9373067588232114,-0.9290641086842335,0.03546794565788347,-0.0032586676634426075,-0.0032764016362715493
2012-11-16,-0.8714003858752722,-0.8714003858752722,-0.9527094057894891,0.023645297105255647,-0.007610292727775808,-0.007622115376328436
2012-11-19,-0.8019052791754271,-0.8019052791754271,-0.9373067588232114,0.0154026469662778,-0.002785052460274176,-0.002792753783757315
2012-11-20,-0.8679368527836182,-0.8679368527836182,-0.8714003858752722,0.06590637294793911,0.031843501337187545,0.031810548150713575
2012-11-21,-0.9119579018557455,-0.9119579018557455,-0.8019052791754271,0.06949510669984515,0.006165511448635559,0.0061307638952856364
2012-11-23,-0.8288950933007418,-0.8288950933007418,-0.8679368527836182,0.06603157360819112,-0.016139665168006072,-0.016172680954810167
2012-11-26,-0.7398990233778339,-0.7398990233778339,-0.9119579018557455,0.04402104907212734,-0.007861577389914581,-0.007883587914450645
2012-11-27,-0.6738747053943193,-0.6738747053943193,-0.8288950933007418,0.0830628085550037,-0.0016667156461805238,-0.0017082470504580258
2012-11-28,-0.5926455820426471,-0.5926455820426471,-0.7398990233778339,0.08899606992290798,-0.0059401088162332515,-0.005984606851194706
2012-11-29,-0.6736515715321988,-0.6736515715321988,-0.6738747053943193,0.0660243179835146,0.01878395877001547,0.018750946611023715
2012-11-30,-0.716430801291541,-0.716430801291541,-0.5926455820426471,0.0812291233516722,-0.0012137201051806584,-0.0012543346668564945
2012-12-03,-0.7520758131245915,-0.7520758131245915,-0.6736515715321988,0.08100598948955173,0.0010323691704124823,0.0009918661756677064
2012-12-04,-0.6712810837925812,-0.6712810837925812,-0.716430801291541,0.04277922975934223,-0.015765656051673186,-0.015787045666552858
2012-12-05,-0.59147970432381,-0.59147970432381,-0.7520758131245915,0.035645011833050466,0.004518977759824138,0.0045011552539076126
2012-12-06,-0.4876138838573369,-0.4876138838573369,-0.6712810837925812,0.08079472933201026,-0.010483148622287653,-0.010523545986953658
2012-12-07,-0.41043929985854194,-0.41043929985854194,-0.59147970432381,0.0798013794687712,-0.0,-3.9900689734385594e-05
