Date,signal,pos,held,turnover,gross,net
2024-09-30,0.914115790789829,0.914115790789829,0.8977569306234969,0.051121534688251646,0.0035976924047564657,0.00357213163741234
2024-10-01,0.7462764929032464,0.7462764929032464,0.8711736861847434,0.026583244438753484,-0.0078044436246301994,-0.007817735246849577
2024-10-02,0.6355066384493026,0.6355066384493026,0.914115790789829,0.04294210460508552,0.00038567808680588656,0.00036420703450334383
2024-10-03,0.44918048021750323,0.44918048021750323,0.7462764929032464,0.16783929788658258,-0.001364191817195172,-0.0014481114661384633
2024-10-04,0.5597665933036251,0.5597665933036251,0.6355066384493026,0.11076985445394383,0.005774992489534693,0.005719607562307721
2024-10-07,0.45972062997313146,0.45972062997313146,0.44918048021750323,0.18632615823179932,-0.004060857796685536,-0.004154020875801436
2024-10-08,0.6030797619704491,0.6030797619704491,0.5597665933036251,0.11058611308612187,0.005294117992365609,0.005238824935822548
2024-10-09,0.7353865079802995,0.7353865079802995,0.45972062997313146,0.10004596333049365,0.0031842412087203635,0.0031342182270551167
2024-10-10,0.7707444666025614,0.7707444666025614,0.6030797619704491,0.14335913199731765,-0.0010553573498307297,-0.0011270369158293886
2024-10-11,0.8471629777350409,0.8471629777350409,0.7353865079802995,0.13230674600985037,0.004403602228498349,0.004337448855493424
2024-10-14,0.8981086518233607,0.8981086518233607,0.7707444666025614,0.035357958622261876,0.00630345744986455,0.00628577847055342
2024-10-15,0.7764144116477852,0.7764144116477852,0.8471629777350409,0.07641851113247955,-0.0065822590629690285,-0.0066204683185352685
2024-10-16,0.7683906602408155,0.7683906602408155,0.8981086518233607,0.05094567408831985,0.0039036695774637177,0.0038781967404195577
2024-10-17,0.7686681880448002,0.7686681880448002,0.7764144116477852,0.12169424017557551,6.652456948198242e-05,5.677449394194668e-06
2024-10-18,0.8457787920298669,0.8457787920298669,0.7683906602408155,0.008023751406969759,0.0029556586150011744,0.0029516467392976895
2024-10-21,0.8406520840611252,0.8406520840611252,0.7686681880448002,0.0002775278039847118,-0.0012622189523799887,-0.0012623577162819812
2024-10-22,0.8106224072369147,0.8106224072369147,0.8457787920298669,0.07711060398506675,-0.00044919970312273235,-0.0004877550051152657
2024-10-23,0.6467601759496199,0.6467601759496199,0.8406520840611252,0.005126707968741706,-0.0076815210989211605,-0.0076840844529055315
2024-10-24,0.5658524302610439,0.5658524302610439,0.8106224072369147,0.03002967682421054,0.001753191027364164,0.0017381761889520588
2024-10-25,0.4999484041028365,0.4999484041028365,0.6467601759496199,0.16386223128729482,-0.00022339104919307808,-0.0003053221648367255
2024-10-28,0.4819754959157275,0.4819754959157275,0.5658524302610439,0.08090774568857595,0.0017493656817553457,0.0017089118089110577
2024-10-29,0.49046159983425525,0.49046159983425525,0.4999484041028365,0.06590402615820745,0.0008090192245811608,0.000776067211502057
2024-10-30,0.432663915753821,0.432663915753821,0.4819754959157275,0.01797290818710895,-0.001458076243661104,-0.0014670626977546586
2024-10-31,0.3417363045283171,0.3417363045283171,0.49046159983425525,0.008486103918527721,-0.009614569749873266,-0.00961881280183253
2024-11-01,0.30171947284789125,0.30171947284789125,0.432663915753821,0.05779768408043423,0.0018260698810658102,0.001797171039025593
2024-11-04,0.2645628762128893,0.2645628762128893,0.3417363045283171,0.09092761122550391,-0.0007360226695169749,-0.0007814864751297269
2024-11-05,0.3170868518468276,0.3170868518468276,0.30171947284789125,0.04001683168042586,0.003648302167152553,0.00362829375131234
2024-11-06,0.5447245678978851,0.5447245678978851,0.2645628762128893,0.037156596635001926,0.006578520503081646,0.006559942204764145
2024-11-07,0.6964830452652568,0.6964830452652568,0.3170868518468276,0.05252397563393829,0.0024517930346635805,0.002425531046846611
2024-11-08,0.7976553635101713,0.7976553635101713,0.5447245678978851,0.22763771605105754,0.0023595093585592076,0.002245690500533679
2024-11-11,0.8651035756734475,0.8651035756734475,0.6964830452652568,0.1517584773673717,0.0006635718586331337,0.0005876926199494479
