Date,signal,pos,held,turnover,gross,net
2021-05-27,0.9074626134922492,0.9074626134922492,0.9868579629854619,0.006571018507269155,0.0003889173925351787,0.0003856318832815441
2021-05-28,0.9383084089948328,0.9383084089948328,0.9289164079050545,0.057941555080407436,0.0035021792183134756,0.003473208440773272
2021-06-01,0.8340603706055942,0.8340603706055942,0.9074626134922492,0.02145379441280526,-0.0024419330207131685,-0.002452659917919571
2021-06-02,0.8893735804037295,0.8893735804037295,0.9383084089948328,0.030845795502583595,0.004588746934789514,0.0045733240370382225
2021-06-03,0.7336340271929518,0.7336340271929518,0.8340603706055942,0.10424803838923857,-0.016329424553072413,-0.01638154857226703
2021-06-04,0.7193866935147843,0.7193866935147843,0.8893735804037295,0.055313209798135254,0.009590434661708943,0.009562778056809875
2021-06-07,0.7509902866945046,0.7509902866945046,0.7336340271929518,0.1557395532107777,0.002940132533836441,0.002862262757231052
2021-06-08,0.7409696076181743,0.7409696076181743,0.7193866935147843,0.01424733367816744,-0.0022243993406341842,-0.002231523007473268
2021-06-09,0.7098217240636465,0.7098217240636465,0.7509902866945046,0.03160359317972028,-0.001440025918807106,-0.0014558277153969663
2021-06-10,0.7336088291580394,0.7336088291580394,0.7409696076181743,0.010020679076330308,0.0031819649192901013,0.003176954579751936
2021-06-11,0.6600237231516193,0.6600237231516193,0.7098217240636465,0.0311478835545278,-0.007987191427097633,-0.008002765368874896
2021-06-14,0.5746402386425121,0.5746402386425121,0.7336088291580394,0.023787105094392857,-0.004299625440398596,-0.004311518992945792
2021-06-15,0.4984014523534612,0.4984014523534612,0.6600237231516193,0.0735851060064201,-0.0024933779269585136,-0.0025301704799617236
2021-06-16,0.38594501889530436,0.38594501889530436,0.5746402386425121,0.08538348450910715,-0.009706657138275718,-0.009749348880530272
2021-06-17,0.22080393682076377,0.22080393682076377,0.4984014523534612,0.0762387862890509,-0.01532107353297304,-0.015359192926117565
2021-06-18,0.10019555135813327,0.10019555135813327,0.38594501889530436,0.11245643345815687,-0.0021409381168744565,-0.002197166333603535
2021-06-21,0.051449886697438656,0.051449886697438656,0.22080393682076377,0.1651410820745406,0.002704328597351814,0.002621758056314544
2021-06-22,0.006637344834498817,0.006637344834498817,0.10019555135813327,0.1206083854626305,-0.00042010530973462927,-0.0004804095024659445
2021-06-23,-0.025952622693056517,-0.025952622693056517,0.051449886697438656,0.04874566466069461,-3.404221918338195e-05,-5.841505151372925e-05
2021-06-24,-0.08251203640335646,-0.08251203640335646,0.006637344834498817,0.04481254186293984,-3.995275051320209e-06,-2.640154598279013e-05
2021-06-25,-0.14694659315999392,-0.14694659315999392,-0.025952622693056517,0.03258996752755533,-8.596737087131701e-05,-0.00010226235463509468
2021-06-28,-0.1923140427874785,-0.1923140427874785,-0.08251203640335646,0.05655941371029994,4.950279908808383e-06,-2.332942694634159e-05
2021-06-29,-0.30013207075408443,-0.30013207075408443,-0.14694659315999392,0.06443455675663746,0.0015437419570375481,0.0015115246786592295
2021-06-30,-0.3351649476641183,-0.3351649476641183,-0.1923140427874785,0.04536744962748457,-0.0009333969508995086,-0.0009560806757132509
2021-07-01,-0.26716312603071596,-0.26716312603071596,-0.30013207075408443,0.10781802796660594,-0.0010328617633734104,-0.0010867707773567134
2021-07-02,-0.20369819248816598,-0.20369819248816598,-0.3351649476641183,0.03503287691003387,-0.0021981261868311715,-0.0022156426252861886
2021-07-06,-0.14360163831620745,-0.14360163831620745,-0.26716312603071596,0.06800182163340235,-0.0013255179191531943,-0.0013595188299698954
2021-07-07,-0.10069315834809961,-0.10069315834809961,-0.20369819248816598,0.06346493354254998,-0.0007754385120820605,-0.0008071709788533355
2021-07-08,-0.07263263584259275,-0.07263263584259275,-0.14360163831620745,0.06009655417195853,9.360196952143721e-05,6.355369243545795e-05
2021-07-09,-0.05811356014709286,-0.05811356014709286,-0.10069315834809961,0.04290847996810784,-0.0003343579089146306,-0.0003558121488986845
2021-07-12,-0.05250679031057456,-0.05250679031057456,-0.07263263584259275,0.028060522505506863,9.01444392624424e-05,7.611417800968898e-05
2021-07-13,-0.04679480708259,-0.04679480708259,-0.05811356014709286,0.014519075695499886,-7.565120811695203e-05,-8.291074596470197e-05
2021-07-14,-0.03133891968720027,-0.03133891968720027,-0.05250679031057456,0.005606769836518304,-0.000564720133891206,-0.0005675235188094651
2021-07-15,-0.021096989311827855,-0.021096989311827855,-0.04679480708259,0.005711983227984559,-8.21153634900004e-06,-1.106752796299232e-05
2021-07-16,-0.029423198326466785,-0.029423198326466785,-0.03133891968720027,0.01545588739538973,0.00030410194201201037,0.0002963739983143155
2021-07-19,-0.030986094013267483,-0.030986094013267483,-0.021096989311827855,0.010241930375372413,-2.490604679921418e-05,-3.0027011986900387e-05
2021-07-20,-0.03289075583866893,-0.03289075583866893,-0.029423198326466785,0.00832620901463893,3.816484597322602e-05,3.400174146590655e-05
2021-07-21,-0.041166592332178134,-0.041166592332178134,-0.030986094013267483,0.0015628956868006978,0.00011524523642473492,0.00011446378858133457
2021-07-22,-0.04338754250376256,-0.04338754250376256,-0.03289075583866893,0.0019046618254014436,-6.431624795468621e-05,-6.526857886738694e-05
2021-07-23,-0.050943347402040214,-0.050943347402040214,-0.041166592332178134,0.008275836493509207,0.00012903332045893144,0.00012489540221217684
2021-07-26,-0.0632409685674691,-0.0632409685674691,-0.04338754250376256,0.0022209501715844265,0.00010295890149695155,0.00010184842641115934
2021-07-27,-0.06704891869873157,-0.06704891869873157,-0.050943347402040214,0.007555804898277653,-8.482442183177616e-05,-8.860232428091499e-05
2021-07-28,-0.04892762030698173,-0.04892762030698173,-0.0632409685674691,0.01229762116542888,-0.00031912991875363684,-0.00032527872933635127
2021-07-29,-0.035796954392386005,-0.035796954392386005,-0.06704891869873157,0.0038079501312624775,-0.0007445938894206248,-0.0007464978644862561
2021-07-30,-0.03423433482652871,-0.03423433482652871,-0.04892762030698173,0.018121298391749842,0.0003858844433911232,0.0003768237941952483
2021-08-02,-0.03687916608884656,-0.03687916608884656,-0.035796954392386005,0.013130665914595725,4.426805107861048e-05,3.770271812131262e-05
2021-08-03,-0.04037171265634373,-0.04037171265634373,-0.03423433482652871,0.0015626195658572928,2.4219992951845997e-05,2.343868316891735e-05
2021-08-04,-0.040504788194205485,-0.040504788194205485,-0.03687916608884656,0.0026448312623178483,-8.702100383086677e-06,-1.00245160142456e-05
2021-08-05,-0.050047683502881676,-0.050047683502881676,-0.04037171265634373,0.0034925465674971734,0.00015955272666609398,0.0001578064533823454
2021-08-06,-0.3666984556685878,-0.3666984556685878,-0.040504788194205485,0.00013307553786175152,0.0010122601859885933,0.0010121936482196624
2021-08-09,-0.5777989704457251,-0.5777989704457251,-0.050047683502881676,0.009542895308676191,0.0008876284300907073,0.0008828569824363692
2021-08-10,-0.713997393723546,-0.713997393723546,-0.3666984556685878,0.3166507721657061,-0.00011338141058558423,-0.00027170679666843725
2021-08-11,-0.6641633612870642,-0.6641633612870642,-0.5777989704457251,0.21110051477713737,-0.0079649453016042,-0.008070495558992767
2021-08-12,-0.620407921302633,-0.620407921302633,-0.713997393723546,0.13619842327782083,-0.0001741164760077056,-0.00024221568764661602
2021-08-13,-0.5091644202714767,-0.5091644202714767,-0.6641633612870642,0.04983403243648177,-0.009514679447917231,-0.009539596464135472
