Date,signal,pos,held,turnover,gross,net
2012-05-22,0.646101041761189,0.646101041761189,0.550120062865024,0.008399674901120036,0.006686763861249806,0.006682564023799246
2012-05-23,0.6950616724418965,0.6950616724418965,0.46915156264178337,0.08096850022324065,-0.001083358492123631,-0.0011238427422352515
2012-05-24,0.7967077816279311,0.7967077816279311,0.646101041761189,0.17694947911940562,0.005982302015479345,0.005893827275919643
2012-05-25,0.8644718544186207,0.8644718544186207,0.6950616724418965,0.04896063068070755,0.005101682603679831,0.005077202288339477
2012-05-29,0.9096479029457472,0.9096479029457472,0.7967077816279311,0.10164610918603456,0.0007253101851576414,0.0006744871305646242
2012-05-30,0.8225559527497299,0.8225559527497299,0.8644718544186207,0.06776407279068963,-0.005112842652506231,-0.005146724688901576
2012-05-31,0.88170396849982,0.88170396849982,0.9096479029457472,0.04517604852712642,0.005412041455625777,0.005389453431362214
2012-06-01,0.9211359789998801,0.9211359789998801,0.8225559527497299,0.08709195019601723,0.013846557515072855,0.013803011539974847
2012-06-04,0.9474239859999201,0.9474239859999201,0.88170396849982,0.0591480157500901,0.00512843065048958,0.005098856642614535
2012-06-05,0.9649493239999467,0.9649493239999467,0.9211359789998801,0.039432010500060066,0.005327085658169984,0.005307369652919954
2012-06-06,0.9766328826666313,0.9766328826666313,0.9474239859999201,0.02628800700003997,0.0033521456027130435,0.0033390015992130237
2012-06-07,0.9844219217777543,0.9844219217777543,0.9649493239999467,0.017525338000026647,0.008505631419659803,0.008496868750659789
2012-06-08,0.989614614518503,0.989614614518503,0.9766328826666313,0.01168355866668458,0.01109285054343953,0.011087008764106189
2012-06-11,0.9139817331729311,0.9139817331729311,0.9844219217777543,0.007789039111123053,-0.007229068793683884,-0.007232963313239446
2012-06-12,0.8572547280385201,0.8572547280385201,0.989614614518503,0.005192692740748628,-0.000861138553147185,-0.0008637348995175593
2012-06-13,0.7784834127743374,0.7784834127743374,0.9139817331729311,0.07563288134557189,-0.004378917487931211,-0.004416733928603997
2012-06-14,0.8472665799344747,0.8472665799344747,0.8572547280385201,0.05672700513441098,0.01087996926016945,0.010851605757602245
2012-06-15,0.8981777199563166,0.8981777199563166,0.7784834127743374,0.07877131526418268,0.004037094076894029,0.003997708419261938
2012-06-18,0.9321184799708777,0.9321184799708777,0.8472665799344747,0.06878316716013733,0.0007284790261932814,0.0006940874426132127
2012-06-19,0.8740591113117193,0.8740591113117193,0.8981777199563166,0.05091114002184183,-0.006944920444871407,-0.006970376014882328
2012-06-20,0.7640583249336046,0.7640583249336046,0.9321184799708777,0.033940760014561144,-0.010895004605772553,-0.010911974985779834
2012-06-21,0.665317582274405,0.665317582274405,0.8740591113117193,0.058059368659158395,-0.003062593146444151,-0.0030916228307737302
2012-06-22,0.6216277308836314,0.6216277308836314,0.7640583249336046,0.11000078637811472,0.004366160753618731,0.004311160360429674
2012-06-25,0.6022462508963602,0.6022462508963602,0.665317582274405,0.09874074265919963,0.0014540838178388256,0.0014047134465092258
2012-06-26,0.5805253761430603,0.5805253761430603,0.6216277308836314,0.043689851390773526,-0.0008134679300646927,-0.0008353128557600795
2012-06-27,0.6003929242419356,0.6003929242419356,0.6022462508963602,0.019381479987271244,0.00289294205482875,0.0028832513148351144
2012-06-28,0.6073617209836544,0.6073617209836544,0.5805253761430603,0.021720874753299868,0.0012614823221662988,0.0012506218847896488
2012-06-29,0.6036206590801012,0.6036206590801012,0.6003929242419356,0.019867548098875254,0.0,-9.933774049437627e-06
2012-07-02,0.7357471060534009,0.7357471060534009,0.6073617209836544,0.006968796741718797,0.005794361375507156,0.005790876977136297
2012-07-03,0.6860072204890043,0.6860072204890043,0.6036206590801012,0.0037410619035531667,-0.009939435385642978,-0.009941305916594754
2012-07-05,0.6314561016936291,0.6314561016936291,0.7357471060534009,0.13212644697329967,-0.0012856348455544543,-0.0013516980690411041
2012-07-06,0.48403070865856734,0.48403070865856734,0.6860072204890043,0.04973988556439657,-0.02341006843278969,-0.02343493837557189
2012-07-09,0.336979460659538,0.336979460659538,0.6314561016936291,0.05455111879537522,-0.008771667649392032,-0.00879894320878972
2012-07-10,0.2670873029582287,0.2670873029582287,0.48403070865856734,0.14742539303506175,0.006151365120924732,0.006077652424407201
2012-07-11,0.226768969825512,0.226768969825512,0.336979460659538,0.14705124799902936,0.0017322577355722432,0.0016587321115727285
2012-07-12,0.20584092226351614,0.20584092226351614,0.2670873029582287,0.0698921577013093,0.0006428580197965356,0.0006079119409458809
2012-07-13,0.19843444604081156,0.19843444604081156,0.226768969825512,0.04031833313271668,0.00034024789906524544,0.0003200887324988871
2012-07-16,0.189145971737499,0.189145971737499,0.20584092226351614,0.02092804756199587,0.0,-1.0464023780997936e-05
2012-07-17,0.15629336235040586,0.15629336235040586,0.19843444604081156,0.007406476222704572,-0.0011892553697097393,-0.0011929586078210917
2012-07-18,0.093894647803167,0.093894647803167,0.189145971737499,0.00928847430331256,-0.0007697817836575546,-0.000774426020809211
2012-07-19,0.043229262644793945,0.043229262644793945,0.15629336235040586,0.03285260938709314,0.00011828039253506882,0.00010185408784152225
2012-07-20,0.019321362648900164,0.019321362648900164,0.093894647803167,0.06239871454723886,0.00014198900412414186,0.00011078964685052243
2012-07-23,-0.014852829522544986,-0.014852829522544986,0.043229262644793945,0.05066538515837306,-0.0004700359447485404,-0.000495368637327727
2012-07-24,-0.022606514888509927,-0.022606514888509927,0.019321362648900164,0.02390789999589378,-6.784136838003781e-05,-7.979531837798469e-05
2012-07-25,-0.02387184949569395,-0.02387184949569395,-0.014852829522544986,0.03417419217144515,-0.00012515510539802205,-0.00014224220148374462
2012-07-26,0.01924856956563056,0.01924856956563056,-0.022606514888509927,0.00775368536596494,-0.0005220615205546002,-0.0005259383632375827
2012-07-27,0.0542326161566203,0.0542326161566203,-0.02387184949569395,0.0012653346071840252,-4.253983997596288e-05,-4.317250727955489e-05
2012-07-30,0.11327784863485277,0.11327784863485277,0.01924856956563056,0.04312041906132451,0.00017405662164965855,0.0001524964121189963
2012-07-31,0.13192603831611935,0.13192603831611935,0.0542326161566203,0.034984046590989734,-0.00023106057545137047,-0.0002485525987468653
2012-08-01,0.12401215396599671,0.12401215396599671,0.11327784863485277,0.05904523247823247,-0.00043452676080094884,-0.0004640493770400651
2012-08-02,0.11235364123486431,0.11235364123486431,0.13192603831611935,0.01864818968126658,-0.00011722657862028805,-0.00012655067346092135
2012-08-03,0.1947022271707273,0.1947022271707273,0.12401215396599671,0.007913884350122635,0.002095645677255475,0.0020916887350804136
2012-08-06,0.2066435926374879,0.2066435926374879,0.11235364123486431,0.0116585127311324,-0.0006387054514164445,-0.0006445347077820107
2012-08-07,0.20171620420722197,0.20171620420722197,0.1947022271707273,0.08234858593586299,-0.00045676651004527066,-0.0004979408030132021
2012-08-08,0.19741952600300958,0.19741952600300958,0.2066435926374879,0.011941365466760612,-3.0417074805877296e-05,-3.63877575392576e-05
2012-08-09,0.16491368564624717,0.16491368564624717,0.20171620420722197,0.004927388430265939,0.0001482970871140913,0.00014583339289895835
2012-08-10,0.13523704866843253,0.13523704866843253,0.19741952600300958,0.004296678204212395,-0.0006957566807244842,-0.0006979050198265904
2012-08-13,0.1254455025383462,0.1254455025383462,0.16491368564624717,0.032505840356762405,0.0008992680114680449,0.0008830150912896637
2012-08-14,0.11522802800496455,0.11522802800496455,0.13523704866843253,0.02967663697781464,-3.965884649446569e-05,-5.449716498337301e-05
2012-08-15,0.08392096480536787,0.08392096480536787,0.1254455025383462,0.009791546130086343,-0.001237083882713602,-0.0012419796557786452
2012-08-16,0.06096713124549538,0.06096713124549538,0.11522802800496455,0.010217474533381635,-0.00013806611036264028,-0.0001431748476293311
2012-08-17,0.04026298884912921,0.04026298884912921,0.08392096480536787,0.03130706319959668,-0.0002516994641638404,-0.00026735299576363875
2012-08-20,0.02653590100340031,0.02653590100340031,0.06096713124549538,0.02295383355987249,-4.580765584735844e-05,-5.7284572627294685e-05
2012-08-21,0.016037567167173215,0.016037567167173215,0.04026298884912921,0.02070414239636617,-0.0002302978748713891,-0.00024064994606957216
2012-08-22,0.008854026489572966,0.008854026489572966,0.02653590100340031,0.013727087845728903,-2.4092513779152834e-05,-3.0956057702017284e-05
2012-08-23,-0.034437933989151875,-0.034437933989151875,0.016037567167173215,0.010498333836227093,-0.00018467783581720533,-0.0001899270027353189
2012-08-24,-0.05431995602348119,-0.05431995602348119,0.008854026489572966,0.007183540677600249,3.121226000299765e-05,2.762048966419753e-05
2012-08-27,-0.05627119810579474,-0.05627119810579474,-0.034437933989151875,0.04329196047872484,-2.1046796760944695e-05,-4.2692777000307117e-05
2012-08-28,-0.06452245768360218,-0.06452245768360218,-0.05431995602348119,0.019882022034329316,0.00011607591643736343,0.00010613490542019877
2012-08-29,-0.06001725009356303,-0.06001725009356303,-0.05627119810579474,0.0019512420823135507,5.165251946715981e-05,5.0676898426003034e-05
2012-08-30,-0.16055837234134218,-0.16055837234134218,-0.06452245768360218,0.008251259577807438,0.0004939719655663588,0.000489846335777455
2012-08-31,-0.24650114439589838,-0.24650114439589838,-0.06001725009356303,0.004505207590039154,2.778041162285927e-05,2.5527807827839695e-05
2012-09-04,-0.2973088138550287,-0.2973088138550287,-0.16055837234134218,0.10054112224777915,-7.435267717464726e-05,-0.00012462323829853683
